name,kind,loc,place,used,copies,tags,modified,size_kb,path
1,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,28,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/6 Debugging/Devices/1.amxd
1 Another input,Audio Effect,Pack,Building Max Devices,1,1,,2025-11-20,76,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/5 Routing and modulating/Devices/1 Another input.amxd
1 Audio signals,Audio Effect,Pack,Building Max Devices,1,1,,2025-11-20,24,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/2 Audio Effects/Devices/1 Audio signals.amxd
1 Listening to Live,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,37,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/4 Controlling Live/Devices/1 Listening to Live.amxd
1 Notes to audio,Instrument,Pack,Building Max Devices,1,1,,2025-11-20,37,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/3 Instruments/Devices/1 Notes to audio.amxd
1 Splitting notes,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,23,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/1 MIDI Effects/Devices/1 Splitting notes.amxd
2,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,30,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/6 Debugging/Devices/2.amxd
2 Mono FM,Instrument,Pack,Building Max Devices,1,1,,2025-11-20,33,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/3 Instruments/Devices/2 Mono FM.amxd
2 Random launching,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,39,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/4 Controlling Live/Devices/2 Random launching.amxd
2 Selecting Parameter,Audio Effect,Pack,Building Max Devices,1,1,,2025-11-20,75,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/5 Routing and modulating/Devices/2 Selecting Parameter.amxd
2 Signal generation,Audio Effect,Pack,Building Max Devices,1,1,,2025-11-20,23,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/2 Audio Effects/Devices/2 Signal generation.amxd
2 UI and Values,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,27,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/1 MIDI Effects/Devices/2 UI and Values.amxd
3,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,33,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/6 Debugging/Devices/3.amxd
3 Event flow,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,23,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/1 MIDI Effects/Devices/3 Event flow.amxd
3 Polyphony,Instrument,Pack,Building Max Devices,1,1,,2025-11-20,39,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/3 Instruments/Devices/3 Polyphony.amxd
3 Remote Control,Audio Effect,Pack,Building Max Devices,1,1,,2025-11-20,82,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/5 Routing and modulating/Devices/3 Remote Control.amxd
3 Showing clip names,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,46,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/4 Controlling Live/Devices/3 Showing clip names.amxd
3 Writing to a buffer,Audio Effect,Pack,Building Max Devices,1,1,,2025-11-20,26,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/2 Audio Effects/Devices/3 Writing to a buffer.amxd
4,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,160,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/6 Debugging/Devices/4.amxd
4 Adding randomness,Audio Effect,Pack,Building Max Devices,1,1,,2025-11-20,57,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/2 Audio Effects/Devices/4 Adding randomness.amxd
4 Copy from Macro Knob,Audio Effect,Pack,Building Max Devices,1,1,,2025-11-20,88,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/5 Routing and modulating/Devices/4 Copy from Macro Knob.amxd
4 Encapsulation,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,30,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/1 MIDI Effects/Devices/4 Encapsulation.amxd
4 Launching earlier,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,52,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/4 Controlling Live/Devices/4 Launching earlier.amxd
4 Polyphony pt2,Instrument,Pack,Building Max Devices,1,1,,2025-11-20,33,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/3 Instruments/Devices/4 Polyphony pt2.amxd
4Xfade,MIDI Effect,Pack,Lost and Found,1,1,,2025-05-25,343,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Lost and Found/Utility/4Xfade.amxd
5,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,27,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/6 Debugging/Devices/5.amxd
5 Adding feedback,Audio Effect,Pack,Building Max Devices,1,1,,2025-11-20,64,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/2 Audio Effects/Devices/5 Adding feedback.amxd
5 Adding progress,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,72,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/4 Controlling Live/Devices/5 Adding progress.amxd
5 Bonus - Push,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,35,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/1 MIDI Effects/Devices/5 Bonus - Push.amxd
5 Next,Instrument,Pack,Building Max Devices,1,1,,2025-11-20,51,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/3 Instruments/Devices/5 Next.amxd
5 Polishing,Audio Effect,Pack,Building Max Devices,1,1,,2025-11-20,247,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/5 Routing and modulating/Devices/5 Polishing.amxd
6 Adding pitch,Audio Effect,Pack,Building Max Devices,1,1,,2025-11-20,95,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/2 Audio Effects/Devices/6 Adding pitch.amxd
6 Bonus - Doubling,Audio Effect,Pack,Building Max Devices,1,1,,2025-11-20,245,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/5 Routing and modulating/Devices/6 Bonus - Doubling.amxd
6 Pitch LFO,Instrument,Pack,Building Max Devices,1,1,,2025-11-20,58,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/3 Instruments/Devices/6 Pitch LFO.amxd
6 Stay in blocks,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,97,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/4 Controlling Live/Devices/6 Stay in blocks.amxd
7 Cleaning up,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,52,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/4 Controlling Live/Devices/7 Cleaning up.amxd
