vendor,name,version,formats,category,url
2Rule,2RuleSynthV-3-1,3.2.0,VST3,"Instrument, Synth",https://akyuz5.wixsite.com/mysite
2Rule,TugGlicento,3.0,VST3,Fx,www.yourcompany.com
2Rule,TugImgSynth,1.2.0,VST3,"Instrument, Synth",https://akyuz5.wixsite.com/mysite
2Rule,TugMidiSeq,2.3.0,VST3,"Instrument, Synth",https://akyuz5.wixsite.com/mysite
2Rule,TugMultiEffect,1.0.0,VST3,Fx,https://akyuz5.wixsite.com/mysite
2Rule,TugPhonon,1.3.0,VST3,Fx,https://akyuz5.wixsite.com/mysite
2Rule,TugSpect,1.0.4.2,VST3,Fx,https://akyuz5.wixsite.com/mysite
Aberrant DSP,Cataclysm,1.0,VST3,"Fx, Distortion",aberrantdsp.com
Aberrant DSP,Lofi Oddity,1.0,VST3,Fx,aberrantdsp.com
AIR Music Technology,AIR Multiband Filterbank,1.0.0.37,VST2/VST3,Fx,www.inmusicbrands.com
AIR Music Technology,AIR Tape Double Track,1.0.0.25,VST2/VST3,Fx,akaipro.com
Airwindows,Airwindows Consolidated,1.2025.63,VST3,Fx,https://airwindows.com/
AnalogObsession,Chopa,3.0.0,VST2/VST3,Fx,http://www.analogobsession.com/
AnalogObsession,DrGate,1.0.0,VST3,"Fx, Dynamics",http://www.analogobsession.com/
AnalogObsession,RazorClip,1.0.0,VST3,"Fx, Distortion",http://www.analogobsession.com/
AnalogObsession,ReLife,2.0.0,VST3,"Fx, Distortion",http://www.analogobsession.com/
Applied Acoustics Systems,Lounge Lizard Session 4,4,VST2/VST3,Instrument,www.applied-acoustics.com
Applied Acoustics Systems,Strum Session 2,2,VST2/VST3,Instrument,www.applied-acoustics.com
Applied Acoustics Systems,Ultra Analog Session 2,2,VST2/VST3,Instrument,www.applied-acoustics.com
Arturia,Acid V,1.1.5.6367,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Analog Lab V,5.12.4.6686,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,ARP 2600 V3,3.13.4.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Augmented BRASS,2.0.2.6369,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Augmented GRAND PIANO,2.0.2.6369,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Augmented MALLETS,2.0.2.6369,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Augmented PERSIA,2.0.2.192,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Augmented STRINGS,2.0.2.6369,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Augmented VOICES,2.0.2.6369,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Augmented WOODWINDS,2.0.2.6369,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Augmented YANGTZE,2.0.2.6369,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,B-3 V2,2.9.5.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Buchla Easel V,1.13.4.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Bus EXCITER-104,1.0.1.6566,VST2/VST3,"Fx, Distortion",http://www.arturia.com
Arturia,Bus FORCE,1.4.1.6566,VST2/VST3,"Fx, Mastering",http://www.arturia.com
Arturia,Bus PEAK,1.0.1.6566,VST2/VST3,"Fx, Dynamics",http://www.arturia.com
Arturia,Bus TRANSIENT,1.0.1.6566,VST2/VST3,"Fx, Tools",http://www.arturia.com
Arturia,Chorus DIMENSION-D,1.5.1.6566,VST2/VST3,"Fx, Modulation",http://www.arturia.com
Arturia,Chorus JUN-6,1.5.1.6566,VST2/VST3,"Fx, Modulation",http://www.arturia.com
Arturia,Clavinet V,1.13.4.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,CMI V,1.13.4.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Comp DIODE-609,1.4.1.6566,VST2/VST3,"Fx, Dynamics",http://www.arturia.com
Arturia,Comp FET-76,1.7.1.6566,VST2/VST3,"Fx, Dynamics",http://www.arturia.com
Arturia,Comp TUBE-STA,1.7.1.6566,VST2/VST3,"Fx, Dynamics",http://www.arturia.com
Arturia,Comp VCA-65,1.7.1.6566,VST2/VST3,"Fx, Dynamics",http://www.arturia.com
Arturia,CP-70 V,1.0.5.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,CS-80 V4,4.3.4.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,CZ V,1.9.4.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Delay BRIGADE,1.7.1.6566,VST2/VST3,"Fx, Delay",http://www.arturia.com
Arturia,Delay ETERNITY,1.7.1.6566,VST2/VST3,"Fx, Delay",http://www.arturia.com
Arturia,Delay TAPE-201,1.7.1.6566,VST2/VST3,"Fx, Delay",http://www.arturia.com
Arturia,Dist COLDFIRE,1.2.1.6566,VST2/VST3,"Fx, Distortion",http://www.arturia.com
Arturia,Dist OPAMP-21,1.2.1.6566,VST2/VST3,"Fx, Distortion",http://www.arturia.com
Arturia,Dist TUBE-CULTURE,1.2.1.6566,VST2/VST3,"Fx, Distortion",http://www.arturia.com
Arturia,DX7 V,1.13.4.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Efx AMBIENT,1.0.0.6577,VST2/VST3,"Fx, Reverb",http://www.arturia.com
Arturia,Efx FRAGMENTS,1.3.1.6566,VST2/VST3,"Fx, Tools",http://www.arturia.com
Arturia,Efx MOTIONS,1.1.1.6566,VST2/VST3,"Fx, Tools",http://www.arturia.com
Arturia,Efx REFRACT,1.1.1.6566,VST2/VST3,"Fx, Modulation",http://www.arturia.com
Arturia,Emulator II V,1.6.4.6366,VST3,"Instrument, Synth",http://www.arturia.com
Arturia,EQ SITRAL-295,1.4.1.6566,VST2/VST3,"Fx, EQ",http://www.arturia.com
Arturia,Farfisa V,1.13.4.6366,VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Filter M12,1.8.1.6566,VST2/VST3,"Fx, Filter",http://www.arturia.com
Arturia,Filter MINI,1.9.1.6566,VST2/VST3,"Fx, Filter",http://www.arturia.com
Arturia,Filter MS-20,1.2.1.6566,VST2/VST3,"Fx, Filter",http://www.arturia.com
Arturia,Filter SEM,1.8.1.6566,VST2/VST3,"Fx, Filter",http://www.arturia.com
Arturia,Flanger BL-20,1.5.1.6566,VST2/VST3,"Fx, Modulation",http://www.arturia.com
Arturia,Jun-6 V,1.6.6.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Jup-8 V4,4.6.4.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Jup-8000 V,1.0.1.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,KORG MS-20 V,1.3.4.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Matrix-12 V2,2.13.4.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Mellotron V,1.9.5.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Memory V,1.0.0.8646,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Mini V3,3.12.0.3422,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Mini V4,4.0.4.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,MiniBrute V,1.0.6.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,MiniFreak V,4.0.2.6369,VST2/VST3,"Instrument, Synth",https://www.arturia.com
Arturia,Mix DRUMS,1.0.1.6566,VST2/VST3,"Fx, Tools",http://www.arturia.com
Arturia,Modular V3,3.13.4.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,OP-Xa V,1.7.4.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Phaser BI-TRON,1.5.1.6566,VST2/VST3,"Fx, Modulation",http://www.arturia.com
Arturia,Piano V3,3.3.4.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Pigments,7.0.0.6447,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Pitch SHIFTER-910,1.0.0.6566,VST2/VST3,"Fx, Tools",http://www.arturia.com
Arturia,Pre 1973,1.9.1.6566,VST2/VST3,"Fx, EQ",http://www.arturia.com
Arturia,Pre TridA,1.8.1.6566,VST2/VST3,"Fx, EQ",http://www.arturia.com
Arturia,Pre V76,1.8.1.6566,VST2/VST3,"Fx, EQ",http://www.arturia.com
Arturia,Prophet-5 V,1.3.5.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Prophet-VS V,1.3.4.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Pure LoFi,1.0.1.6372,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Rev INTENSITY,1.6.1.6566,VST2/VST3,"Fx, Reverb",http://www.arturia.com
Arturia,Rev LX-24,1.2.1.6567,VST2/VST3,"Fx, Reverb",http://www.arturia.com
Arturia,Rev OCEAN,1.0.0.5848,VST2/VST3,"Fx, Reverb",http://www.arturia.com
Arturia,Rev PLATE-140,1.7.1.6566,VST2/VST3,"Fx, Reverb",http://www.arturia.com
Arturia,Rev SPRING-636,1.6.1.6566,VST2/VST3,"Fx, Reverb",http://www.arturia.com
Arturia,Rotary CLS-222,1.2.1.6566,VST2/VST3,"Fx, Modulation",http://www.arturia.com
Arturia,SEM V2,2.13.2.5305,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,SEM V3,3.0.1.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Solina V2,2.13.4.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,SQ80 V,1.6.5.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Stage-73 V2,2.6.5.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Synclavier V,2.13.4.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Synthi V,1.9.4.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Synthx V,1.0.7.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Tape J-37,1.1.0.6566,VST2/VST3,"Fx, Tools",http://www.arturia.com
Arturia,Tape MELLO-FI,1.4.1.6566,VST2/VST3,"Fx, Distortion",http://www.arturia.com
Arturia,Vocoder V,1.6.5.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,VOX Continental V2,2.13.4.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Wurli V2,2.12.0.3420,VST3,"Instrument, Synth",http://www.arturia.com
Arturia,Wurli V3,3.0.4.6366,VST2/VST3,"Instrument, Synth",http://www.arturia.com
"Audio Damage, Inc.",ShinRonin,1.0.0,VST3,Fx,http://www.audiodamage.com
Audiomodern,Filterstep,1.1.3,VST2/VST3,"Fx, Filter, Generator, Modulation, Tools",https://www.audiomodern.com
Audiomodern,Gatelab,1.1.3,VST2/VST3,Fx,https://www.audiomodern.com
Audiomodern,Panflow,1.0.1,VST2/VST3,Fx,https://www.audiomodern.com
Audiomodern,Soundbox,1.0.7,VST3,"Instrument, Instrument Synth",https://www.audiomodern.com
AudioThing,Fog Convolver 2,2.3.0,VST3,"Fx, Reverb",https://www.audiothing.net
AudioThing,Moon Echo,1.0.0,VST3,"Fx, Delay, Reverb",https://www.audiothing.net
AudioThing,Octaves,1.0.0,VST3,"Fx, Filter",https://www.audiothing.net
AudioThing,Reels,1.5.4,VST3,"Fx, Delay, Distortion",https://audiothing.net
AudioThing,Speakers,1.3.3,VST3,"Fx, Distortion, EQ, Mastering",https://www.audiothing.net
